post_title,post_date,product_name,sale_price,regular_price,source_url,scraped_at,approx_regular_price
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1742414 TRINITY LAUNDRY CART 3 BAG SORTER,$39.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,8886776 PHILIPS ONEBLADE 360 TRIMMER & SHAVER (,$10.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2755983 DYSON SUPERSONIC HAIR DRYER WITH DISPLAY STAND (,$100.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,CUPS 80 COUNT (,$12.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1909211 CHEFMAN TURBOFRY AIR FRYER 8.5L (9QT) (,$20.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2840892 SALTON INDUCTION COOKTOP,$29.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,CUT BAGS (,$10.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1796160 OXO FOOD DISPENSER 5.2L,$29.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1730866 THERMOFLASK WATER BOTTLES 2 X 710ML,$19.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1833011 LOLE LUNCH BAG 8L CAPACITY,$13.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,BOARD SET OF 2 (,$10.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1898669 LAURIE GATES DINNERWARE SET 16 PIECES,$39.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1631745 DURACELL LITHIUM 2032 BATTERY PACK OF 12 (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1509988 POLAR XTREME 58″ SNOW BRUSH AND ICE SCRAPER (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1680379 MICHELIN BEAM WIPER BLADES BLADE LENGTH 24 IN (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1754444 ARTIKA ALTITUDE FLUSHMOUNT 15IN DIAMETER,$24.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1806310 GOOD EARTH LED WALL LANTERN OUTDOOR USE,$39.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,5850008 LUMINUS 4 INCH LED PANEL PACK OF 8,$29.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1908718 KOHLER SHOWER COLUMN KIT HYDRORAIL (,$40.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1734187 PRIME EXTENSION CORD 2X50FT 2FT 3 OUTLET ADAPTER,$39.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,3807583 KIDDE SMOKE & CO ALARM PACK OF 2 (,$30.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,2807583 KIDDE SMOKE & CO ALARM PACK OF 2 (,$30.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,3380444 SWIFFER SWEEPER DRY CLOTHS PACK OF 84 (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,3380446 SWIFFER SWEEPER WET REFILLS PACK OF 64 (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1417309 DAWN POWERWASH DISHWASHING DETERGENT 3 x 473 mL (,$2.50,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1848324 HOTO CORDLESS SPIN SCRUBBER W/ATTACHMENTS (,$15.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1796448 DRANO MAX GEL ULTRA 3.8L (,$3.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1671616 DEWALT 8 GALLON WET/DRY VAC (,$20.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1744809 DOG DELIGHTS BEEF TENDERSTICKS 600G (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,3862780 PALMOLIVE ADVANCED LIQUID DISH DETERGENT 4.27 L (,$2.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,BRITE FLEX SCRUB PACK OF 8 (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1379799 MR. CLEAN MAGIC ERASER VARIETY PACK PACK OF 15 (,$4.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,4556655 SCOTTS SUPREME GRASS SEED 3.8KG BAG,$19.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1012140 SCOTTS EZ SEED 11.3KG BAG,$49.97,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,8827196 FEBREZE AIR EFFECTS VARIETY PACK 4 X 250 G (,$3.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,3458556 TIDE LIQUID COLDWATER HE 4.7L 124 WASHLOADS (,$6.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1614173 OROWEAT KETO 7″ TORTILLAS 15 x 41g (,$2.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,1218587 SWIFFER DUSTERS REFILLS 28 COUNT (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,690349 WINDEX GLASS CLEANER 5L + 950ML (,$5.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,5276 RED SEEDLESS GRAPES PRODUCT OF USA (,$2.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,31097 (ALSO 31098) PORK LOIN CENTRE & RIB BONELESS (,$6.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,107725 SKOTIDAKIS TZATZIKI 2 x 454g (,$2.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
"Costco Flyer & Costco Sale Items for October 20-26, 2025 for BC, AB, SK, MB",2025-10-20T22:43:46+00:00,115226 ORGANIC SHIITAKE MUSHROOMS PRODUCT OF CANADA (,$2.00,,https://cocowest.ca/2025/10/costco-flyer-costco-sale-items-for-october-20-26-2025-for-bc-ab-sk-mb/,2025-10-22T21:24:05,
